arquivo,classe,arquivo_fonte,data_hora,dispositivo,formato_arquivo,largura_px,altura_px,tamanho_kb,condicao_objeto,iluminacao,distancia_aprox_cm,angulo,cenario,iso,tempo_exposicao_s,abertura_f,focal_equiv_35mm,zoom_digital,flash,brilho_medio,contraste_dp,nitidez_laplaciana,ruido_observado,desfoque_observado,observacoes
contrabaixo_01.jpg,contrabaixo,20260906_145832.jpg,2026-09-06T14:58:32-04:00,Galaxy S26,JPEG,3000,4000,2819.2,uso_normal,luz_natural_da_janela,40,frontal,quarto_estante,800,1/60,2.2,17,1.28,nao,112.0,67.1,1192.5,baixo,nao,instrumento_completo
contrabaixo_02.jpg,contrabaixo,20260906_145836.jpg,2026-09-06T14:58:36-04:00,Galaxy S26,JPEG,3000,4000,2770.6,uso_normal,luz_natural_da_janela,40,frontal_aproximado,quarto_estante,800,1/60,2.2,17,1.28,nao,104.6,71.8,670.0,baixo,nao,detalhe_do_corpo_captadores_e_controles
contrabaixo_03.jpg,contrabaixo,20260906_145853.jpg,2026-09-06T14:58:53-04:00,Galaxy S26,JPEG,3000,4000,3040.1,uso_normal,luz_natural_da_janela,40,obliquo_frontal,quarto_estante,1000,1/60,2.2,17,1.28,nao,108.8,66.4,1321.2,baixo,nao,instrumento_completo_em_perspectiva
contrabaixo_04.jpg,contrabaixo,20260906_145931.jpg,2026-09-06T14:59:31-04:00,Galaxy S26,JPEG,3000,4000,2494.9,uso_normal,luz_natural_da_janela,40,traseiro_aproximado,quarto_estante,1600,1/60,1.8,23,1.0,nao,96.2,60.2,223.6,baixo,nao,corpo_e_braco_vistos_por_tras
contrabaixo_05.jpg,contrabaixo,20260906_145958.jpg,2026-09-06T14:59:59-04:00,Galaxy S26,JPEG,3000,4000,2671.6,uso_normal,luz_natural_atenuada_por_cortina_e_camera,40,frontal,quarto_estante,500,1/120,1.8,23,1.0,nao,68.0,39.2,456.8,baixo,nao,captura_subexposta_para_variacao_de_aquisicao
fpga_01.jpg,fpga,20260906_152935.jpg,2026-09-06T15:29:35-04:00,Galaxy S26,JPEG,4000,3000,4661.7,suja,luz_natural_da_janela,20,frontal_superior,quarto_superficie_estofada_marrom,1600,1/120,1.8,23,1.0,nao,109.6,46.4,2243.4,baixo,nao,face_superior_com_componentes_e_sujeira_visivel
fpga_02.jpg,fpga,20260906_152938.jpg,2026-09-06T15:29:38-04:00,Galaxy S26,JPEG,4000,3000,3222.6,suja,luz_natural_da_janela,20,obliquo_frontal,quarto_superficie_estofada_marrom,800,1/120,1.8,23,1.0,nao,106.5,56.0,961.1,baixo,nao,face_superior_em_perspectiva
fpga_03.jpg,fpga,20260906_153036.jpg,2026-09-06T15:30:36-04:00,Galaxy S26,JPEG,4000,3000,3779.8,suja,luz_natural_atenuada_por_cortina_e_camera,20,traseiro_superior,quarto_superficie_estofada_marrom,400,1/120,1.8,23,1.0,nao,62.8,32.8,1173.2,baixo,nao,face_inferior_em_baixa_exposicao
fpga_04.jpg,fpga,20260906_153448.jpg,2026-09-06T15:34:49-04:00,Galaxy S26,JPEG,3000,4000,4614.8,limpa,luz_natural_da_janela,20,frontal_superior,quarto_superficie_estofada_marrom,2000,1/120,1.8,23,1.0,nao,104.5,44.8,2314.0,baixo,nao,face_superior_apos_limpeza
fpga_05.jpg,fpga,20260906_153604.jpg,2026-09-06T15:36:05-04:00,Galaxy S26,JPEG,4000,3000,4109.6,limpa,luz_natural_da_janela,20,traseiro_superior,quarto_superficie_estofada_marrom,1250,1/120,1.8,23,1.0,nao,109.9,41.0,1763.8,baixo,nao,face_inferior_apos_limpeza
