classe,arquivo_final,arquivo_fonte,condicao_objeto,motivo_selecao
contrabaixo,contrabaixo_01.jpg,20260906_145832.jpg,uso_normal,visao_frontal_completa_nitida_e_exposicao_equilibrada
contrabaixo,contrabaixo_02.jpg,20260906_145836.jpg,uso_normal,aproximacao_do_corpo_com_captadores_e_controles_visiveis
contrabaixo,contrabaixo_03.jpg,20260906_145853.jpg,uso_normal,vista_obliqua_com_instrumento_completo
contrabaixo,contrabaixo_04.jpg,20260906_145931.jpg,uso_normal,vista_traseira_para_diversidade_estrutural
contrabaixo,contrabaixo_05.jpg,20260906_145958.jpg,uso_normal,baixa_exposicao_util_para_analise_de_aquisicao_e_ruido
fpga,fpga_01.jpg,20260906_152935.jpg,suja,vista_superior_completa_e_alta_nitidez
fpga,fpga_02.jpg,20260906_152938.jpg,suja,vista_obliqua_da_face_de_componentes
fpga,fpga_03.jpg,20260906_153036.jpg,suja,face_inferior_em_baixa_exposicao
fpga,fpga_04.jpg,20260906_153448.jpg,limpa,face_superior_limpa_e_alta_nitidez
fpga,fpga_05.jpg,20260906_153604.jpg,limpa,face_inferior_limpa_para_comparacao_com_fpga_03
